tabela;arquivo;linha;ponto_execucao;barreira_detectada;pistas;cardinalidade;classificacao;justificativa
stock_transfer_team_operations;src/app/api/dash-estoque/route.ts;494;await;NENHUMA;inFilter;2987 linhas no maior tenant (2026-08-21);P0;ACIMA DO TETO HOJE - 2987 linhas no maior tenant
stock_transfer_team_operations;src/app/api/estornos/route.ts;309;await;NENHUMA;inFilter;2987 linhas no maior tenant (2026-08-21);P0;ACIMA DO TETO HOJE - 2987 linhas no maior tenant
stock_transfer_team_operations;src/app/api/stock-balance/route.ts;368;callback;NENHUMA;chunk+inFilter;2987 linhas no maior tenant (2026-08-21);P0;ACIMA DO TETO HOJE - 2987 linhas no maior tenant
stock_transfer_team_operations;src/app/api/stock-transfers/reversal/route.ts;158;await;NENHUMA;limit+inFilter;2987 linhas no maior tenant (2026-08-21);P0;ACIMA DO TETO HOJE - 2987 linhas no maior tenant
stock_transfer_team_operations;src/app/api/team-stock-balance/route.ts;313;indefinido;NENHUMA;inFilter;2987 linhas no maior tenant (2026-08-21);P0;ACIMA DO TETO HOJE - 2987 linhas no maior tenant
stock_transfer_team_operations;src/app/api/team-stock-operations/reversal/route.ts;116;await;NENHUMA;-;2987 linhas no maior tenant (2026-08-21);P0;ACIMA DO TETO HOJE - 2987 linhas no maior tenant
stock_transfer_team_operations;src/app/api/team-stock-operations/route.ts;298;await;NENHUMA;-;2987 linhas no maior tenant (2026-08-21);P0;ACIMA DO TETO HOJE - 2987 linhas no maior tenant
stock_transfer_team_operations;src/app/api/team-stock-operations/route.ts;323;await;NENHUMA;-;2987 linhas no maior tenant (2026-08-21);P0;ACIMA DO TETO HOJE - 2987 linhas no maior tenant
stock_transfer_team_operations;src/app/api/team-stock-operations/route.ts;357;await;NENHUMA;-;2987 linhas no maior tenant (2026-08-21);P0;ACIMA DO TETO HOJE - 2987 linhas no maior tenant
stock_transfer_team_operations;src/app/api/trafo-positions/route.ts;418;indefinido;NENHUMA;inFilter;2987 linhas no maior tenant (2026-08-21);P0;ACIMA DO TETO HOJE - 2987 linhas no maior tenant
stock_transfer_team_operations;src/app/api/trafo-positions/route.ts;728;indefinido;NENHUMA;inFilter;2987 linhas no maior tenant (2026-08-21);P0;ACIMA DO TETO HOJE - 2987 linhas no maior tenant
team_composition_members;src/app/api/composicao-equipe/route.ts;550;await;NENHUMA;inFilter;2913 linhas no maior tenant (2026-08-21);P0;ACIMA DO TETO HOJE - 2913 linhas no maior tenant
team_composition_members;src/app/api/composicao-equipe/route.ts;604;await;NENHUMA;limit+inFilter;2913 linhas no maior tenant (2026-08-21);P0;ACIMA DO TETO HOJE - 2913 linhas no maior tenant
project_measurement_order_items;src/app/api/apuracao-fator-minimo/route.ts;394;await;NENHUMA;inFilter;2835 linhas no maior tenant (2026-08-21);P0;ACIMA DO TETO HOJE - 2835 linhas no maior tenant
project_measurement_order_items;src/app/api/dash-operacional-faturamento/route.ts;691;callback;NENHUMA;range+inFilter;2835 linhas no maior tenant (2026-08-21);P0;ACIMA DO TETO HOJE - 2835 linhas no maior tenant
project_measurement_order_items;src/app/api/medicao/project-activity-usage/route.ts;56;await;NENHUMA;limit+inFilter;2835 linhas no maior tenant (2026-08-21);P0;ACIMA DO TETO HOJE - 2835 linhas no maior tenant
project_measurement_order_items;src/server/modules/dashboard-measurement/controller.ts;502;await;NENHUMA;inFilter;2835 linhas no maior tenant (2026-08-21);P0;ACIMA DO TETO HOJE - 2835 linhas no maior tenant
project_measurement_order_items;src/server/modules/dashboard-portfolio/controller.ts;517;await;NENHUMA;inFilter;2835 linhas no maior tenant (2026-08-21);P0;ACIMA DO TETO HOJE - 2835 linhas no maior tenant
project_measurement_order_items;src/server/modules/medicao/list.ts;83;callback;NENHUMA;range;2835 linhas no maior tenant (2026-08-21);P0;ACIMA DO TETO HOJE - 2835 linhas no maior tenant
project_measurement_order_items;src/server/modules/medicao/list.ts;306;callback;NENHUMA;range+inFilter;2835 linhas no maior tenant (2026-08-21);P0;ACIMA DO TETO HOJE - 2835 linhas no maior tenant
project_measurement_order_items;src/server/modules/medicao/queries.ts;458;await;NENHUMA;-;2835 linhas no maior tenant (2026-08-21);P0;ACIMA DO TETO HOJE - 2835 linhas no maior tenant
project_measurement_order_items;src/server/modules/medicao/queries.ts;597;await;NENHUMA;inFilter;2835 linhas no maior tenant (2026-08-21);P0;ACIMA DO TETO HOJE - 2835 linhas no maior tenant
stock_requisition_request_items;src/app/api/stock-requisitions/fulfill/route.ts;64;await;NENHUMA;inFilter;2386 linhas no maior tenant (2026-08-21);P0;ACIMA DO TETO HOJE - 2386 linhas no maior tenant
stock_requisition_request_items;src/app/api/stock-requisitions/route.ts;78;await;NENHUMA;-;2386 linhas no maior tenant (2026-08-21);P0;ACIMA DO TETO HOJE - 2386 linhas no maior tenant
stock_requisition_request_items;src/app/api/stock-requisitions/route.ts;251;await;NENHUMA;inFilter;2386 linhas no maior tenant (2026-08-21);P0;ACIMA DO TETO HOJE - 2386 linhas no maior tenant
project_measurement_order_history;src/server/modules/medicao/queries.ts;516;await;NENHUMA;limit;2296 linhas no maior tenant (2026-08-21);P0;ACIMA DO TETO HOJE - 2296 linhas no maior tenant
project_activity_forecast;src/app/api/projects/activity-forecast/import/route.ts;303;await;NENHUMA;inFilter;1744 linhas no maior tenant (2026-08-21);P0;ACIMA DO TETO HOJE - 1744 linhas no maior tenant
project_activity_forecast;src/app/api/projects/activity-forecast/import/route.ts;371;await;NENHUMA;-;1744 linhas no maior tenant (2026-08-21);P0;ACIMA DO TETO HOJE - 1744 linhas no maior tenant
project_activity_forecast;src/app/api/projects/activity-forecast/route.ts;147;await;NENHUMA;-;1744 linhas no maior tenant (2026-08-21);P0;ACIMA DO TETO HOJE - 1744 linhas no maior tenant
project_activity_forecast;src/app/api/projects/activity-forecast/route.ts;158;await;NENHUMA;-;1744 linhas no maior tenant (2026-08-21);P0;ACIMA DO TETO HOJE - 1744 linhas no maior tenant
stock_center_balances;src/app/api/consumo-projeto/route.ts;449;await;NENHUMA;inFilter;1699 linhas no maior tenant (2026-08-21);P0;ACIMA DO TETO HOJE - 1699 linhas no maior tenant
stock_center_balances;src/app/api/dash-estoque/route.ts;357;indefinido;NENHUMA;inFilter;1699 linhas no maior tenant (2026-08-21);P0;ACIMA DO TETO HOJE - 1699 linhas no maior tenant
stock_center_balances;src/app/api/stock-balance/route.ts;631;indefinido;NENHUMA;inFilter+countExact;1699 linhas no maior tenant (2026-08-21);P0;ACIMA DO TETO HOJE - 1699 linhas no maior tenant
stock_center_balances;src/app/api/stock-balance/route.ts;645;return-builder;NENHUMA;inFilter;1699 linhas no maior tenant (2026-08-21);P0;ACIMA DO TETO HOJE - 1699 linhas no maior tenant
stock_center_balances;src/app/api/stock-balance/route.ts;758;indefinido;NENHUMA;-;1699 linhas no maior tenant (2026-08-21);P0;ACIMA DO TETO HOJE - 1699 linhas no maior tenant
stock_center_balances;src/app/api/stock-requisitions/materials/route.ts;30;await;NENHUMA;range;1699 linhas no maior tenant (2026-08-21);P0;ACIMA DO TETO HOJE - 1699 linhas no maior tenant
stock_center_balances;src/app/api/team-stock-balance/route.ts;423;indefinido;NENHUMA;inFilter;1699 linhas no maior tenant (2026-08-21);P0;ACIMA DO TETO HOJE - 1699 linhas no maior tenant
stock_center_balances;src/app/api/team-stock-operations/import/route.ts;322;indefinido;NENHUMA;inFilter;1699 linhas no maior tenant (2026-08-21);P0;ACIMA DO TETO HOJE - 1699 linhas no maior tenant
stock_center_balances;src/server/modules/warehouse-addressing/handlers.ts;510;await;NENHUMA;-;1699 linhas no maior tenant (2026-08-21);P0;ACIMA DO TETO HOJE - 1699 linhas no maior tenant
materials;src/app/api/dash-estoque/route.ts;469;indefinido;NENHUMA;inFilter;1351 linhas no maior tenant (2026-08-21);P0;ACIMA DO TETO HOJE - 1351 linhas no maior tenant
materials;src/app/api/locacao/materials/catalog/route.ts;34;await;NENHUMA;limit;1351 linhas no maior tenant (2026-08-21);P0;ACIMA DO TETO HOJE - 1351 linhas no maior tenant
materials;src/app/api/materials/route.ts;839;indefinido;NENHUMA;range+countExact;1351 linhas no maior tenant (2026-08-21);P0;ACIMA DO TETO HOJE - 1351 linhas no maior tenant
materials;src/app/api/projects/forecast/catalog/route.ts;38;await;NENHUMA;limit;1351 linhas no maior tenant (2026-08-21);P0;ACIMA DO TETO HOJE - 1351 linhas no maior tenant
materials;src/app/api/stock-requisitions/fulfill/route.ts;74;await;NENHUMA;inFilter;1351 linhas no maior tenant (2026-08-21);P0;ACIMA DO TETO HOJE - 1351 linhas no maior tenant
materials;src/app/api/stock-requisitions/route.ts;95;await;NENHUMA;inFilter;1351 linhas no maior tenant (2026-08-21);P0;ACIMA DO TETO HOJE - 1351 linhas no maior tenant
materials;src/app/api/stock-transfers/import/route.ts;153;await;NENHUMA;inFilter;1351 linhas no maior tenant (2026-08-21);P0;ACIMA DO TETO HOJE - 1351 linhas no maior tenant
materials;src/app/api/stock-transfers/reversal/route.ts;223;await;NENHUMA;inFilter;1351 linhas no maior tenant (2026-08-21);P0;ACIMA DO TETO HOJE - 1351 linhas no maior tenant
materials;src/app/api/stock-transfers/route.ts;226;indefinido;NENHUMA;limit;1351 linhas no maior tenant (2026-08-21);P0;ACIMA DO TETO HOJE - 1351 linhas no maior tenant
materials;src/app/api/stock-transfers/route.ts;839;await;NENHUMA;inFilter;1351 linhas no maior tenant (2026-08-21);P0;ACIMA DO TETO HOJE - 1351 linhas no maior tenant
materials;src/app/api/stock-transfers/route.ts;930;await;NENHUMA;inFilter;1351 linhas no maior tenant (2026-08-21);P0;ACIMA DO TETO HOJE - 1351 linhas no maior tenant
materials;src/app/api/stock-transfers/route.ts;1373;await;NENHUMA;inFilter;1351 linhas no maior tenant (2026-08-21);P0;ACIMA DO TETO HOJE - 1351 linhas no maior tenant
